country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","20-06-2026 19:00:00",25.03280,85.41948,PM10,31,107,58
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","20-06-2026 19:00:00",25.03280,85.41948,NO2,12,15,14
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","20-06-2026 19:00:00",25.03280,85.41948,NH3,3,3,3
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","20-06-2026 19:00:00",25.03280,85.41948,SO2,2,3,3
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","20-06-2026 19:00:00",25.03280,85.41948,OZONE,14,43,24
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","20-06-2026 19:00:00",25.892357,86.590325,PM2.5,18,119,56
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","20-06-2026 19:00:00",25.892357,86.590325,PM10,22,110,61
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","20-06-2026 19:00:00",25.859655,85.77944,OZONE,7,9,8
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","20-06-2026 19:00:00",26.2271665,84.3570427,PM2.5,13,240,74
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","20-06-2026 19:00:00",30.735567,76.775714,PM10,32,68,53
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","20-06-2026 19:00:00",30.735567,76.775714,SO2,5,17,8
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","20-06-2026 19:00:00",30.735567,76.775714,CO,50,64,52
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","20-06-2026 19:00:00",30.751462,76.762879,PM10,63,106,90
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","20-06-2026 19:00:00",30.751462,76.762879,NH3,12,12,12
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","20-06-2026 19:00:00",30.719859,76.738637,CO,28,62,43
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","20-06-2026 19:00:00",21.194815,81.314770,PM2.5,11,23,16
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","20-06-2026 19:00:00",21.194815,81.314770,PM10,14,24,19
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","20-06-2026 19:00:00",21.194815,81.314770,NH3,3,4,3
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","20-06-2026 19:00:00",21.194815,81.314770,SO2,5,12,7
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","20-06-2026 19:00:00",21.194815,81.314770,CO,5,32,8
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","20-06-2026 19:00:00",21.194815,81.314770,OZONE,9,61,51
